Year,concept.SEX,Value
2007,,16.7
2008,,17.0
2009,,17.8
2010,,183.0
2011,,17.4
2012,,177.0
2013,,221.0
2014,,207.0
2015,,21.4
2016,,20.4
2017,,210.0
2018,,205.0
2007,code.M,10.7
2008,code.M,12.8
2009,code.M,12.3
2010,code.M,115.0
2011,code.M,97.0
2012,code.M,101.0
2013,code.M,14.3
2014,code.M,125.0
2015,code.M,13.6
2016,code.M,12.1
2017,code.M,12.3
2018,code.M,120.0
2007,code.F,22.8
2008,code.F,21.3
2009,code.F,23.5
2010,code.F,252.0
2011,code.F,25.2
2012,code.F,255.0
2013,code.F,300.0
2014,code.F,29.2
2015,code.F,295.0
2016,code.F,290.0
2017,code.F,30.1
2018,code.F,294.0
